Date,Returns
23-Apr-2021,8.25224E-05
26-Apr-2021,-0.005368592
27-Apr-2021,-0.006167276
28-Apr-2021,-0.007227146
29-Apr-2021,0.002006521
30-Apr-2021,-0.013592224
3-May-2021,0.006369584
4-May-2021,-0.00351596
5-May-2021,0.000693278
6-May-2021,0.007499788
7-May-2021,0.005314446
10-May-2021,0.011586903
11-May-2021,0.002270922
12-May-2021,-0.018664463
13-May-2021,-0.001570212
14-May-2021,0.007980241
17-May-2021,0.00301932
18-May-2021,0.005840729
19-May-2021,-0.003658731
20-May-2021,0.006095975
21-May-2021,-0.003944944
24-May-2021,-0.007811277
25-May-2021,-0.012603589
26-May-2021,0.003511193
27-May-2021,0.008943838
28-May-2021,0.005137091
31-May-2021,0.017243105
1-Jun-2021,-0.004335938
2-Jun-2021,-0.000252555
3-Jun-2021,-0.001720364
4-Jun-2021,-0.002863336
7-Jun-2021,0.018349744
8-Jun-2021,-0.010241156
9-Jun-2021,-0.000587936
10-Jun-2021,-0.001026971
11-Jun-2021,0.004574912
14-Jun-2021,-0.005148438
15-Jun-2021,-0.003612227
16-Jun-2021,-0.007165248
17-Jun-2021,-0.007848638
18-Jun-2021,0.003960019
21-Jun-2021,-8.81854E-05
22-Jun-2021,-0.005185447
23-Jun-2021,0.000133624
24-Jun-2021,0.004802552
25-Jun-2021,0.00104957
28-Jun-2021,-0.004293772
29-Jun-2021,0.000225716
30-Jun-2021,-0.001209487
1-Jul-2021,0.002644516
2-Jul-2021,-0.002547261
5-Jul-2021,0.006240526
6-Jul-2021,-0.010867284
7-Jul-2021,-0.001518114
8-Jul-2021,-0.00443129
9-Jul-2021,0.004915931
12-Jul-2021,0.000918149
13-Jul-2021,-0.011510676
14-Jul-2021,0.000238133
15-Jul-2021,0.015096193
16-Jul-2021,-0.00156377
19-Jul-2021,-0.01729982
20-Jul-2021,0.000986159
21-Jul-2021,0.01595289
22-Jul-2021,0.003175841
23-Jul-2021,-0.001115183
26-Jul-2021,0.011531136
27-Jul-2021,-0.000307124
28-Jul-2021,0.007735836
29-Jul-2021,0.004695943
30-Jul-2021,-0.012585052
